,Source,Production,dayOfYear,dayName,monthName,Total_time
7589,Solar,0.0,185,Friday,July,1
7590,Solar,0.0,168,Tuesday,June,1
7591,Solar,0.0,282,Thursday,October,1
7592,Solar,0.0,6,Wednesday,January,1
7594,Solar,3206.0,185,Friday,July,1
7595,Solar,2797.0,168,Tuesday,June,1
7596,Solar,687.0,283,Friday,October,1
7597,Solar,0.0,7,Thursday,January,1
7599,Solar,1646.0,185,Friday,July,1
7600,Solar,2771.0,168,Tuesday,June,1
7601,Solar,1362.0,283,Friday,October,1
7602,Solar,0.0,7,Thursday,January,1
7604,Solar,38.0,185,Friday,July,1
7605,Solar,1728.0,168,Tuesday,June,1
7606,Solar,2231.0,283,Friday,October,1
7607,Solar,0.0,7,Thursday,January,1
7609,Solar,3164.0,186,Saturday,July,1
7610,Solar,0.0,168,Tuesday,June,1
7611,Solar,8.0,283,Friday,October,1
7612,Solar,1038.0,7,Thursday,January,1
7614,Solar,3789.0,186,Saturday,July,1
7615,Solar,0.0,168,Tuesday,June,1
7616,Solar,0.0,283,Friday,October,1
7617,Solar,0.0,7,Thursday,January,1
7619,Solar,2621.0,186,Saturday,July,1
7620,Solar,0.0,169,Wednesday,June,1
7621,Solar,0.0,283,Friday,October,1
7622,Solar,0.0,7,Thursday,January,1
7624,Solar,1.0,187,Sunday,July,1
7625,Solar,919.0,169,Wednesday,June,1
7626,Solar,0.0,283,Friday,October,1
7627,Solar,0.0,8,Friday,January,1
7629,Solar,0.0,187,Sunday,July,1
7630,Solar,2659.0,169,Wednesday,June,1
7631,Solar,0.0,284,Saturday,October,1
7632,Solar,2201.0,8,Friday,January,1
7634,Solar,20.0,187,Sunday,July,1
7635,Solar,2111.0,169,Wednesday,June,1
7636,Solar,1491.0,284,Saturday,October,1
7637,Solar,404.0,8,Friday,January,1
7639,Solar,3216.0,187,Sunday,July,1
7640,Solar,3.0,169,Wednesday,June,1
7641,Solar,2726.0,284,Saturday,October,1
7642,Solar,0.0,8,Friday,January,1
7644,Solar,1.0,188,Monday,July,1
7645,Solar,1.0,170,Thursday,June,1
7646,Solar,2631.0,284,Saturday,October,1
7647,Solar,0.0,8,Friday,January,1
7649,Solar,0.0,188,Monday,July,1
7650,Solar,856.0,170,Thursday,June,1
7651,Solar,379.0,284,Saturday,October,1
7652,Solar,0.0,9,Saturday,January,1
7654,Solar,894.0,188,Monday,July,1
7655,Solar,1923.0,170,Thursday,June,1
7656,Solar,0.0,284,Saturday,October,1
7657,Solar,1545.0,9,Saturday,January,1
7659,Solar,2.0,188,Monday,July,1
7660,Solar,2545.0,170,Thursday,June,1
7661,Solar,0.0,285,Sunday,October,1
7662,Solar,742.0,9,Saturday,January,1
7664,Solar,309.0,189,Tuesday,July,1
7665,Solar,2698.0,170,Thursday,June,1
7666,Solar,2395.0,285,Sunday,October,1
7667,Solar,260.0,9,Saturday,January,1
7669,Solar,1.0,190,Wednesday,July,1
7670,Solar,0.0,171,Friday,June,1
7671,Solar,1.0,286,Monday,October,1
7672,Solar,0.0,9,Saturday,January,1
7674,Solar,0.0,190,Wednesday,July,1
7675,Solar,0.0,171,Friday,June,1
7676,Solar,887.0,286,Monday,October,1
7677,Solar,0.0,10,Sunday,January,1
7679,Solar,2.0,190,Wednesday,July,1
7680,Solar,44.0,171,Friday,June,1
7681,Solar,2310.0,286,Monday,October,1
7682,Solar,9.0,10,Sunday,January,1
7684,Solar,1.0,191,Thursday,July,1
7685,Solar,366.0,171,Friday,June,1
7686,Solar,2057.0,287,Tuesday,October,1
7687,Solar,903.0,10,Sunday,January,1
7689,Solar,3878.0,191,Thursday,July,1
7690,Solar,0.0,171,Friday,June,1
7691,Solar,1846.0,287,Tuesday,October,1
7692,Solar,1644.0,10,Sunday,January,1
7694,Solar,950.0,191,Thursday,July,1
7695,Solar,0.0,172,Saturday,June,1
7696,Solar,709.0,287,Tuesday,October,1
7697,Solar,1151.0,10,Sunday,January,1
7699,Solar,0.0,192,Friday,July,1
7700,Solar,3429.0,172,Saturday,June,1
7701,Solar,183.0,287,Tuesday,October,1
7702,Solar,41.0,10,Sunday,January,1
7704,Solar,23.0,192,Friday,July,1
7705,Solar,970.0,172,Saturday,June,1
7706,Solar,0.0,288,Wednesday,October,1
7707,Solar,0.0,10,Sunday,January,1
7709,Solar,1954.0,192,Friday,July,1
7710,Solar,39.0,172,Saturday,June,1
7711,Solar,0.0,288,Wednesday,October,1
7712,Solar,0.0,11,Monday,January,1
7714,Solar,2501.0,192,Friday,July,1
7715,Solar,0.0,173,Sunday,June,1
7716,Solar,0.0,288,Wednesday,October,1
7717,Solar,0.0,11,Monday,January,1
7719,Solar,1252.0,192,Friday,July,1
7720,Solar,0.0,173,Sunday,June,1
7721,Solar,566.0,288,Wednesday,October,1
7722,Solar,0.0,11,Monday,January,1
7724,Solar,228.0,192,Friday,July,1
7725,Solar,1072.0,173,Sunday,June,1
7726,Solar,5.0,288,Wednesday,October,1
7727,Solar,1297.0,11,Monday,January,1
7729,Solar,1.0,192,Friday,July,1
7730,Solar,3295.0,173,Sunday,June,1
7731,Solar,0.0,289,Thursday,October,1
7732,Solar,2184.0,11,Monday,January,1
7734,Solar,0.0,192,Friday,July,1
7735,Solar,3415.0,173,Sunday,June,1
7736,Solar,1343.0,289,Thursday,October,1
7737,Solar,0.0,11,Monday,January,1
7739,Solar,23.0,193,Saturday,July,1
7740,Solar,36.0,173,Sunday,June,1
7741,Solar,1800.0,289,Thursday,October,1
7742,Solar,0.0,11,Monday,January,1
7744,Solar,3788.0,193,Saturday,July,1
7745,Solar,3417.0,174,Monday,June,1
7746,Solar,2268.0,289,Thursday,October,1
7747,Solar,0.0,12,Tuesday,January,1
7749,Solar,0.0,194,Sunday,July,1
7750,Solar,1993.0,174,Monday,June,1
7751,Solar,1533.0,289,Thursday,October,1
7752,Solar,0.0,12,Tuesday,January,1
7754,Solar,0.0,194,Sunday,July,1
7755,Solar,1045.0,174,Monday,June,1
7756,Solar,222.0,289,Thursday,October,1
7757,Solar,25.0,12,Tuesday,January,1
7759,Solar,0.0,194,Sunday,July,1
7760,Solar,37.0,174,Monday,June,1
7761,Solar,0.0,290,Friday,October,1
7762,Solar,517.0,12,Tuesday,January,1
7764,Solar,2839.0,194,Sunday,July,1
7765,Solar,1.0,174,Monday,June,1
7766,Solar,0.0,290,Friday,October,1
7767,Solar,795.0,12,Tuesday,January,1
7769,Solar,3609.0,194,Sunday,July,1
7770,Solar,1.0,175,Tuesday,June,1
7771,Solar,0.0,290,Friday,October,1
7772,Solar,948.0,12,Tuesday,January,1
7774,Solar,3414.0,194,Sunday,July,1
7775,Solar,2159.0,175,Tuesday,June,1
7776,Solar,1281.0,290,Friday,October,1
7777,Solar,0.0,12,Tuesday,January,1
7779,Solar,1809.0,194,Sunday,July,1
7780,Solar,1034.0,175,Tuesday,June,1
